+====================+===================+============================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                        |
+====================+===================+============================================================+
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[24]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[25]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[31]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[29]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[41]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[21]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[44]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[46]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[28]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[19]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[36]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[37]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[33]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[34]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[30]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[32]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[27]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[18]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[42]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[40]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[26]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[11]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_mem_reg/ex_result_o_reg[26]/D                  |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[8]/D                  |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[13]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[15]/D                 |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[5]/D                  |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[9]/D                  |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[3]/D                  |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[4]/D                  |
| sys_clk_pin        | sys_clk_pin       | pipe_u/u_ex_stage/u_fpu/mant_res_reg[1]/D                  |
